auc,tpr1,rfpr1,tpr5,rfpr5,tpr10,rfpr10,hits,variant
0.972275,0.8283625,0.008637500000000001,0.9229625,0.1476125,0.9715,0.328475,8,median_EWMA+KnnDist+Mahalanobis
0.974175,0.8866,0.042925,0.9316,0.0967125,0.9495375,0.14576250000000002,8,or3_EWMA+KnnDist+Mahalanobis
0.9649,0.8111375000000001,0.008925,0.9018875000000001,0.10056249999999999,0.933875,0.2186125,8,rank_EWMA+KnnDist+Mahalanobis
0.978375,0.8488125,0.0233875,0.9573125,0.171225,0.9767125,0.3229,8,max_EWMA+KnnDist+OCSVM
0.9504874999999999,0.84155,0.0249875,0.9128625,0.19516250000000002,0.9380625,0.350475,8,mean_EWMA+KnnDist+OCSVM
0.9540500000000001,0.8406,0.025599999999999998,0.910725,0.19669999999999999,0.9352750000000001,0.3427375,8,median_EWMA+KnnDist+OCSVM
0.978375,0.8872374999999999,0.045575,0.9573125,0.171225,0.9767125,0.3229,8,or3_EWMA+KnnDist+OCSVM
0.9554625,0.843075,0.023025,0.9161125,0.2186125,0.943825,0.3938875,8,rank_EWMA+KnnDist+OCSVM
0.9765999999999999,0.846775,0.0154,0.9276375,0.0709625,0.947425,0.121975,8,max_EWMA+Mahalanobis+OCSVM
0.947225,0.8323,0.0128125,0.90245,0.145625,0.9270125,0.2919625,8,mean_EWMA+Mahalanobis+OCSVM
0.973425,0.816525,0.0071875,0.9140125,0.1147125,0.9678125000000001,0.285675,8,median_EWMA+Mahalanobis+OCSVM
0.9765999999999999,0.88065,0.027637499999999995,0.9276375,0.0709625,0.947425,0.121975,8,or3_EWMA+Mahalanobis+OCSVM
0.95035,0.8061375,0.0095375,0.8919999999999999,0.10944999999999999,0.9205,0.23462500000000003,8,rank_EWMA+Mahalanobis+OCSVM
0.9909875,0.9024749999999999,0.0005875,0.9755,0.0662875,0.9798375,0.2578625,8,max_MEWMA+MCUSUM+CUSUM
0.9921625000000001,0.8825875,0.0,0.91385,0.0,0.921,0.0,8,mean_MEWMA+MCUSUM+CUSUM
0.9696625000000001,0.83765,0.0,0.9303250000000001,0.059125,0.9373374999999999,0.10661250000000001,8,median_MEWMA+MCUSUM+CUSUM
0.9909875,0.9427000000000001,0.0051125,0.9755,0.0662875,0.9798375,0.2578625,8,or3_MEWMA+MCUSUM+CUSUM
0.9919,0.78415,0.0,0.949975,0.002,0.9615,0.0067,8,rank_MEWMA+MCUSUM+CUSUM
0.9904875,0.925,0.0057125000000000006,0.9758875,0.1096625,0.9807625,0.279175,8,max_MEWMA+MCUSUM+KnnDist
0.992475,0.8829625,0.0,0.9148499999999999,0.0,0.92265,0.0,8,mean_MEWMA+MCUSUM+KnnDist
0.9884375,0.8833625,0.0114875,0.9660250000000001,0.1701,0.9776375,0.31345,8,median_MEWMA+MCUSUM+KnnDist
0.9904875,0.95155,0.0408375,0.9758875,0.1096625,0.9807625,0.279175,8,or3_MEWMA+MCUSUM+KnnDist
0.993825,0.8840625,0.0,0.95295,0.0064624999999999995,0.9691375,0.085175,8,rank_MEWMA+MCUSUM+KnnDist
0.9907750000000001,0.9071125,0.0011,0.9671375,0.0291375,0.9774499999999999,0.10318749999999999,8,max_MEWMA+MCUSUM+Mahalanobis
0.9921875,0.8793624999999999,0.0,0.912725,0.0,0.9200375,0.0,8,mean_MEWMA+MCUSUM+Mahalanobis
0.9836125,0.8545,0.005525,0.952125,0.06518750000000001,0.9649625,0.1275875,8,median_MEWMA+MCUSUM+Mahalanobis
0.9907750000000001,0.9430875000000001,0.00755,0.9671375,0.0291375,0.9774499999999999,0.10318749999999999,8,or3_MEWMA+MCUSUM+Mahalanobis
0.9899875,0.8409375,0.0,0.9281875,0.0020750000000000005,0.955375,0.022775,8,rank_MEWMA+MCUSUM+Mahalanobis
0.99045,0.9215375,0.0031999999999999997,0.9740500000000001,0.077025,0.979575,0.23820000000000002,8,max_MEWMA+MCUSUM+OCSVM
0.9920375,0.8815625,0.0,0.9141874999999999,0.0,0.92195,0.0,8,mean_MEWMA+MCUSUM+OCSVM
0.9682250000000001,0.8996875,0.020387500000000003,0.9444125,0.116875,0.9531125,0.2566625,8,median_MEWMA+MCUSUM+OCSVM
0.99045,0.9463874999999999,0.025112500000000003,0.9740500000000001,0.077025,0.979575,0.23820000000000002,8,or3_MEWMA+MCUSUM+OCSVM
0.9844875000000001,0.866425,0.0,0.93935,0.0077875,0.9569,0.0967375,8,rank_MEWMA+MCUSUM+OCSVM
0.9717374999999999,0.8123875,0.0070625,0.9321750000000001,0.1275125,0.9665125,0.30455,8,max_MEWMA+CUSUM+KnnDist
0.96345,0.8112124999999999,0.0047125000000000005,0.918425,0.182875,0.94815,0.335025,8,mean_MEWMA+CUSUM+KnnDist
0.9593,0.84345,0.00545,0.9089750000000001,0.1857125,0.9382375000000001,0.32572500000000004,8,median_MEWMA+CUSUM+KnnDist
0.9717374999999999,0.8647,0.0408375,0.9321750000000001,0.1275125,0.9665125,0.30455,8,or3_MEWMA+CUSUM+KnnDist
0.9637249999999999,0.7785375000000001,0.0096875,0.9304625,0.1614625,0.962925,0.36712500000000003,8,rank_MEWMA+CUSUM+KnnDist
0.9765125,0.7873625,0.0013000000000000002,0.8965875000000001,0.033937499999999995,0.93915,0.120125,8,max_MEWMA+CUSUM+Mahalanobis
0.9686250000000001,0.786125,0.00125,0.89405,0.046974999999999996,0.9207625,0.1130375,8,mean_MEWMA+CUSUM+Mahalanobis
0.9543124999999999,0.8079125,0.004,0.8849875,0.065125,0.9023375,0.1279625,8,median_MEWMA+CUSUM+Mahalanobis
0.9765125,0.8434999999999999,0.00755,0.8965875000000001,0.033937499999999995,0.93915,0.120125,8,or3_MEWMA+CUSUM+Mahalanobis
0.959025,0.762575,0.0056,0.8855124999999999,0.0691875,0.9219625,0.16697499999999998,8,rank_MEWMA+CUSUM+Mahalanobis
0.9742500000000001,0.8117125,0.003725,0.926,0.09391250000000001,0.9636625,0.2681,8,max_MEWMA+CUSUM+OCSVM
0.9319999999999999,0.818425,0.0043749999999999995,0.8890125,0.139825,0.9097500000000001,0.283625,8,mean_MEWMA+CUSUM+OCSVM
0.9304375,0.8462875,0.005775000000000001,0.8799375,0.131275,0.9003125000000001,0.2696375,8,median_MEWMA+CUSUM+OCSVM
